case_id,case_name,expected_label,production_prediction,production_confidence,production_correct,candidate_prediction,disagreement,probabilities,evaluation_note
HC-01,"1. Legitimate high-frequency shopper (4 returns, 20% return rate)",Legitimate,Legitimate,0.8509,True,Legitimate,False,"{'Legitimate': 0.8509, 'Policy Abuser': 0.1485, 'Fraudulent Return': 0.0004, 'Wardrobing': 0.0002}",Nominal Evaluation
HC-02,2. Borderline Policy Abuser with 22% return rate & prior dispute,Policy Abuser,Legitimate,0.6489,False,Legitimate,False,"{'Legitimate': 0.6489, 'Policy Abuser': 0.3497, 'Fraudulent Return': 0.0008, 'Wardrobing': 0.0005}",DATASET / EVALUATION MISMATCH: 33-feature baseline lacks return_rate_pct and lifetime dispute signals.
HC-03,3. Fraudulent return with multi-account collision & instant return,Fraudulent Return,Fraudulent Return,0.9813,True,Fraudulent Return,False,"{'Legitimate': 0.0011, 'Policy Abuser': 0.0176, 'Fraudulent Return': 0.9813, 'Wardrobing': 0.0001}",Nominal Evaluation
HC-04,4. Wardrobing with 12-day return window on apparel,Wardrobing,Legitimate,0.8023,False,Legitimate,False,"{'Legitimate': 0.8023, 'Policy Abuser': 0.0458, 'Fraudulent Return': 0.1187, 'Wardrobing': 0.0331}",DATASET / EVALUATION MISMATCH: 12-day window falls near legitimate return window boundary in synthetic training prior.
HC-05,"5. Legitimate luxury item ($600 high value, returned in 5 days)",Legitimate,Legitimate,0.9205,True,Legitimate,False,"{'Legitimate': 0.9205, 'Policy Abuser': 0.0056, 'Fraudulent Return': 0.0714, 'Wardrobing': 0.0024}",Nominal Evaluation
HC-06,"6. Strong Policy Abuser (70% return rate, 8 prior disputes)",Policy Abuser,Wardrobing,0.6719,False,Wardrobing,False,"{'Legitimate': 0.2666, 'Policy Abuser': 0.061, 'Fraudulent Return': 0.0004, 'Wardrobing': 0.6719}",Nominal Evaluation
HC-07,7. Rapid turnaround return (Delivered & returned in 0.5 days),Legitimate,Legitimate,0.9715,True,Legitimate,False,"{'Legitimate': 0.9715, 'Policy Abuser': 0.0282, 'Fraudulent Return': 0.0002, 'Wardrobing': 0.0001}",Nominal Evaluation
HC-08,8. Out-of-policy late return window (48 days to return),Policy Abuser,Wardrobing,0.9995,False,Wardrobing,False,"{'Legitimate': 0.0003, 'Policy Abuser': 0.0002, 'Fraudulent Return': 0.0, 'Wardrobing': 0.9995}",Nominal Evaluation
HC-09,9. Chronic Chargeback / Dispute Ring (6 prior chargebacks),Fraudulent Return,Fraudulent Return,0.9999,True,Fraudulent Return,False,"{'Legitimate': 0.0, 'Policy Abuser': 0.0, 'Fraudulent Return': 0.9999, 'Wardrobing': 0.0}",Nominal Evaluation
HC-10,"10. Aggressive escalation abuser (14 support tickets, 4 returns in 30d)",Policy Abuser,Legitimate,0.9586,False,Policy Abuser,True,"{'Legitimate': 0.9586, 'Policy Abuser': 0.0408, 'Fraudulent Return': 0.0004, 'Wardrobing': 0.0003}",Nominal Evaluation
HC-11,11. High return-rate habitual returner (90% return rate on 15 items),Policy Abuser,Legitimate,0.8344,False,Policy Abuser,True,"{'Legitimate': 0.8344, 'Policy Abuser': 0.1647, 'Fraudulent Return': 0.0006, 'Wardrobing': 0.0004}",Nominal Evaluation
HC-12,"12. Conflicting Signals (High value $800, verified merchant packaging)",Legitimate,Legitimate,0.9303,True,Legitimate,False,"{'Legitimate': 0.9303, 'Policy Abuser': 0.0048, 'Fraudulent Return': 0.0626, 'Wardrobing': 0.0023}",Nominal Evaluation
HC-13,13. Missing optional telemetry fields (Sparse intake),Legitimate,Legitimate,0.9334,True,Legitimate,False,"{'Legitimate': 0.9334, 'Policy Abuser': 0.0661, 'Fraudulent Return': 0.0003, 'Wardrobing': 0.0002}",Nominal Evaluation
HC-14,"14. Extreme Outlier Values (Order $12,500, Account age 1,500 days)",Legitimate,Legitimate,0.9109,True,Legitimate,False,"{'Legitimate': 0.9109, 'Policy Abuser': 0.0056, 'Fraudulent Return': 0.0809, 'Wardrobing': 0.0027}",Nominal Evaluation
HC-15,"15. Novel / Unseen Categorical Encodings (Platform: VR_Headset, Carrier: DroneX)",SCHEMA_CONTRACT_REJECTION,SCHEMA_REJECTED,1.0,True,SCHEMA_REJECTED,False,{'REJECTED': 1.0},Unseen category values correctly trigger schema contract validation error.
