column,observed_behavior,likely_semantics,decision,confidence,reason
total_orders_lifetime,"Observed non-monotonic values across multiple records for same customer (sampled 200 customers; 105 non-monotonic)",UNKNOWN,EXCLUDE / UNKNOWN,LOW,"Multiple sample customers show total_orders_lifetime decreasing and increasing over time (examples in docs). Values are inconsistent with a reliable prior-only snapshot. Cannot prove temporal availability at submission."
photo_evidence_provided,"Values vary per customer across returns (sample shows 0->1 and 1->0 transitions)",CONDITIONAL,CONDITIONAL,MEDIUM,"Some customers have photo_evidence_provided=1 on some returns and 0 on others; could be submission-time uploads or later investigator uploads. Require provenance (upload timestamp) to verify."
tracking_number_valid,"Values vary per customer across returns (sample shows 0/1 flips)",CONDITIONAL,CONDITIONAL,MEDIUM,"tracking_number_valid toggles for same customers; may be immediate validation or later carrier verification. Need timestamped validation event to confirm submission-time availability."
refund_amount_requested_usd,"Refund amount ratios to avg_order_value cluster ~0.8-1.05; 3013 rows where refund > avg order",CONDITIONAL,CONDITIONAL,MEDIUM,"Numeric values are present and plausible as requested amounts, but cannot confirm if these are 'requested' vs 'settled' amounts. Require system logs or definition to verify."
address_change_before_delivery,"Binary flags present per row; behavior not provably prior-only",CONDITIONAL,CONDITIONAL,LOW,"No evidence in dataset that this flag is always set before submission. Could be updated during investigation. Require timestamped address-change events."
customer_support_contacts,"Counts per customer are non-monotonic in sampled customers (examples) suggesting inclusion of case interactions",UNKNOWN/CONDITIONAL,CONDITIONAL,LOW,"Customer support counts decrease in later records for the same customer in many samples — inconsistent with a simple prior-only snapshot. Need audit of whether current-case contacts are included."
abuse_type,"One-to-one mapping to abuse_label across the dataset (each abuse_type maps to a single abuse_label)",TARGET_MAPPING,EXCLUDE/HIGH_CONFIDENCE,HIGH,"abuse_type maps exactly to abuse_label values (Legitimate/Policy Abuser/Fraudulent Return/Wardrobing). It is a human-readable target mapping and must be excluded to avoid leakage."
customer_return_count_prior,"Computed as group.cumcount() after deterministic sort; mathematically excludes current row",HISTORICAL_VERIFIED,INCLUDE/HIGH_CONFIDENCE,HIGH,"customer_return_count_prior uses group.cumcount() on rows sorted by (customer_id, return_date, order_date, order_id, row_id) so the current row is excluded. Verified by implementation."
returns_last_30d_prior,"Computed with searchsorted on sorted per-customer return_date arrays; current row excluded",HISTORICAL_VERIFIED,INCLUDE/HIGH_CONFIDENCE,HIGH,"Algorithm uses searchsorted with window [T-30d, T) and i_pos-left to exclude current row; verified by code."
returns_last_90d_prior,"Computed similarly to 30d; current row excluded",HISTORICAL_VERIFIED,INCLUDE/HIGH_CONFIDENCE,HIGH,"Same method as 30d; excludes current row by construction."
total_returns_lifetime_prior,"Recomputed as customer_return_count_prior; current row excluded",HISTORICAL_VERIFIED,INCLUDE/HIGH_CONFIDENCE,HIGH,"Set equal to customer_return_count_prior (recomputed). No lookahead used."
customer_order_count_prior,"Derived from total_orders_lifetime with assumption 'total_orders_lifetime includes current order' when plausibility test passed; underlying column semantics are inconsistent",CONDITIONAL/UNVERIFIED,EXCLUDE_UNTIL_VERIFIED,LOW,"Script infers prior by subtracting 1 from total_orders_lifetime when >=90% rows satisfy a plausibility check. This is not proof of temporal availability. Raw total_orders_lifetime shows non-monotonic behavior; recommend excluding or recomputing from authoritative order logs."
return_rate_prior,"Derived from recomputed totals and customer_order_count_prior; conditional on customer_order_count_prior",CONDITIONAL,EXCLUDE_UNTIL_VERIFIED,LOW,"Depends on customer_order_count_prior; if that is unverified, return_rate_prior is untrusted."
